0, 1, 2, 3
206, 1, 2, 3
207, 1, 2, 3
208, 1, 2, 3
209, 1, 2, 3
210, 1, 2, 3
211, 1, 2, 3
212, 1, 2, 3
213, 1, 2, 3
214, 1, 2, 3
215, 1, 2, 3
216, 1, 2, 3
217, 1, 2, 3
218, 1, 2, 3
219, 1, 2, 3
220, 1, 2, 3
221, 1, 2, 3
222, 1, 2, 3
223, 1, 2, 3
224, 1, 2, 3
225, 1, 2, 3
226, 1, 2, 3
227, 1, 2, 3
228, 1, 2, 3
229, 1, 2, 3
230, 1, 2, 3
231, 1, 2, 3
232, 1, 2, 3
233, 1, 2, 3
234, 1, 2, 3
235, 1, 2, 3
236, 1, 2, 3
237, 1, 2, 3
238, 1, 2, 3
239, 1, 2, 3
240, 1, 2, 3
241, 1, 2, 3
242, 1, 2, 3
243, 1, 2, 3
244, 1, 2, 3
245, 1, 2, 3
246, 1, 2, 3
247, 1, 2, 3
248, 1, 2, 3
249, 1, 2, 3
250, 1, 2, 3
251, 1, 2, 3
252, 1, 2, 3
253, 1, 2, 3
254, 1, 2, 3
255, 1, 2, 3
256, 1, 2, 3
257, 1, 2, 3
258, 1, 2, 3
259, 1, 2, 3
260, 1, 2, 3
261, 1, 2, 3
262, 1, 2, 3
263, 1, 2, 3
264, 1, 2, 3
265, 1, 2, 3
266, 1, 2, 3
267, 1, 2, 3
268, 1, 2, 3
269, 1, 2, 3
270, 1, 2, 3
271, 1, 2, 3
272, 1, 2, 3
273, 1, 2, 3
274, 1, 2, 3
275, 1, 2, 3
276, 1, 2, 3
277, 1, 2, 3
278, 1, 2, 3
279, 1, 2, 3
280, 1, 2, 3
281, 1, 2, 3
282, 1, 2, 3
283, 1, 2, 3
284, 1, 2, 3
285, 1, 2, 3
286, 1, 2, 3
287, 1, 2, 3
288, 1, 2, 3
289, 1, 2, 3
290, 1, 2, 3
291, 1, 2, 3
292, 1, 2, 3
293, 1, 2, 3
294, 1, 2, 3
295, 1, 2, 3
296, 1, 2, 3
297, 1, 2, 3
298, 1, 2, 3
299, 1, 2, 3
300, 1, 2, 3
301, 1, 2, 3
302, 1, 2, 3
303, 1, 2, 3
304, 1, 2, 3
305, 1, 2, 3
306, 1, 2, 3
307, 1, 2, 3
308, 1, 2, 3
309, 1, 2, 3
310, 1, 2, 3
311, 1, 2, 3
312, 1, 2, 3
313, 1, 2, 3
314, 1, 2, 3
315, 1, 2, 3
316, 1, 2, 3
317, 1, 2, 3
318, 1, 2, 3
319, 1, 2, 3
320, 1, 2, 3
321, 1, 2, 3
322, 1, 2, 3
323, 1, 2, 3
324, 1, 2, 3
